d,baseline.off_p50.mean,baseline.off_p50.std,baseline.off_p95.mean,baseline.off_p95.std,baseline.eff_rank.mean,baseline.eff_rank.std,baseline.val_acc.mean,baseline.val_acc.std,baseline.test_acc.mean,baseline.test_acc.std,local.off_p50.mean,local.off_p50.std,local.off_p95.mean,local.off_p95.std,local.eff_rank.mean,local.eff_rank.std,local.val_acc.mean,local.val_acc.std,local.test_acc.mean,local.test_acc.std,multiscale.off_p50.mean,multiscale.off_p50.std,multiscale.off_p95.mean,multiscale.off_p95.std,multiscale.eff_rank.mean,multiscale.eff_rank.std,multiscale.val_acc.mean,multiscale.val_acc.std,multiscale.test_acc.mean,multiscale.test_acc.std
4,0.03511,0,0.2138,0,138,0,0.5561594203,0.02196441241,0.5416666667,0.02450679213,0.241,0,0.4396,0,67.11,0,0.5579710145,0.02057575488,0.5416666667,0.02450679213,0.1646,0,0.3603,0,73.08,0,0.5561594203,0.02196441241,0.5416666667,0.02450679213
6,0.00646,0,0.06143,8.498374722e-18,680.4,0,0.5561594203,0.02196441241,0.5416666667,0.02450679213,0.2441,0,0.3885,0,104.1,1.740467143e-14,0.5561594203,0.02196441241,0.5416666667,0.02450679213,0.1524,0,0.2592,0,248.1,0,0.5561594203,0.02196441241,0.5416666667,0.02450679213
8,0.001191,0,0.01656,0,884.1,0,0.5815217391,0.03025958893,0.5253623188,0.04931397677,0.2458,0,0.3617,6.798699778e-17,129.5,0,0.5634057971,0.01908632926,0.5471014493,0.01660353513,0.1516,0,0.2261,0,335.8,0,0.5597826087,0.01959538737,0.5380434783,0.03025958893
10,0.0002214,0,0.004281,0,913.4,0,0.5670289855,0.03137773202,0.5398550725,0.02057575488,0.2467,0,0.344,6.798699778e-17,148.6,0,0.5634057971,0.01568886601,0.5398550725,0.03494076363,0.1527,0,0.2125,0,368.7,0,0.5634057971,0.01908632926,0.5362318841,0.03320707025
12,4.115e-05,0,0.001075,0,916.3,1.392373714e-13,0.5597826087,0.01882663921,0.5434782609,0.02490530269,0.2473,0,0.3333,0,161.9,0,0.5597826087,0.01959538737,0.5362318841,0.02568378058,0.1536,0,0.2059,0,383.9,6.961868572e-14,0.5579710145,0.02057575488,0.5380434783,0.02490530269
14,1.211e-06,0,0.0003404,0,914.8,1.392373714e-13,0.6032608696,0.03563825285,0.597826087,0.04244700911,0.2538,0,0.3481,0,170.7,3.480934286e-14,0.6992753623,0.02057575488,0.6956521739,0.03025958893,0.1643,0,0.2243,3.399349889e-17,365.7,0,0.7101449275,0.03090348208,0.6902173913,0.02368966817
16,2.12e-07,3.241872681e-23,6.998e-05,0,916.5,0,0.5597826087,0.01882663921,0.5416666667,0.02450679213,0.2521,0,0.3374,0,177.4,0,0.6847826087,0.03260869565,0.6213768116,0.03184491998,0.1623,0,0.216,0,377.7,0,0.6811594203,0.02450679213,0.6413043478,0.03260869565
18,2.867e-08,0,1.486e-05,2.074798516e-21,917.1,0,0.5597826087,0.01882663921,0.5416666667,0.02450679213,0.2531,0,0.3343,0,181.5,0,0.7010869565,0.02717391304,0.6286231884,0.03618656586,0.1629,0,0.2143,3.399349889e-17,382,0,0.6974637681,0.01568886601,0.634057971,0.01131340217
20,4.774e-09,0,3.091e-06,0,917.1,0,0.5597826087,0.01882663921,0.5416666667,0.02450679213,0.2521,0,0.3219,0,195.7,3.480934286e-14,0.7028985507,0.02196441241,0.6467391304,0.01630434783,0.164,0,0.2087,0,392.1,6.961868572e-14,0.7083333333,0.02196441241,0.6557971014,0.01568886601
