d,baseline.off_p50.mean,baseline.off_p50.std,baseline.off_p95.mean,baseline.off_p95.std,baseline.eff_rank.mean,baseline.eff_rank.std,baseline.val_acc.mean,baseline.val_acc.std,baseline.test_acc.mean,baseline.test_acc.std,local.off_p50.mean,local.off_p50.std,local.off_p95.mean,local.off_p95.std,local.eff_rank.mean,local.eff_rank.std,local.val_acc.mean,local.val_acc.std,local.test_acc.mean,local.test_acc.std,multiscale.off_p50.mean,multiscale.off_p50.std,multiscale.off_p95.mean,multiscale.off_p95.std,multiscale.eff_rank.mean,multiscale.eff_rank.std,multiscale.val_acc.mean,multiscale.val_acc.std,multiscale.test_acc.mean,multiscale.test_acc.std
4,0.03585,0,0.2217,0,111.9,1.740467143e-14,0.5666666667,0.08370664682,0.6431924883,0.04946316316,0.2406,0,0.4509,0,46.73,0,0.5714285714,0.0755928946,0.6525821596,0.05332308306,0.1629,0,0.3672,0,62.25,0,0.5904761905,0.04364357805,0.6291079812,0.04302887976
6,0.006557,0,0.0628,0,294.3,0,0.5666666667,0.08370664682,0.6431924883,0.04946316316,0.2451,0,0.3923,6.798699778e-17,70.01,0,0.5714285714,0.0755928946,0.6525821596,0.05332308306,0.1526,0,0.2613,0,140.7,0,0.5904761905,0.04364357805,0.6291079812,0.04302887976
8,0.001175,0,0.01711,0,338.2,0,0.5666666667,0.08370664682,0.6431924883,0.04946316316,0.2463,0,0.3658,6.798699778e-17,83.7,0,0.5714285714,0.0755928946,0.6525821596,0.05332308306,0.1517,0,0.2278,0,170.6,0,0.5904761905,0.04364357805,0.6291079812,0.04302887976
10,0.0002205,0,0.004392,0,346.3,0,0.5666666667,0.08370664682,0.6431924883,0.04946316316,0.2465,3.399349889e-17,0.348,6.798699778e-17,92.25,0,0.5714285714,0.0755928946,0.6525821596,0.05332308306,0.152,0,0.2141,3.399349889e-17,182.2,3.480934286e-14,0.5904761905,0.04364357805,0.6291079812,0.04302887976
12,3.85e-05,0,0.001101,0,348.5,0,0.5666666667,0.08370664682,0.6431924883,0.04946316316,0.2474,3.399349889e-17,0.3372,0,98.8,0,0.5714285714,0.0755928946,0.6525821596,0.05332308306,0.1534,0,0.2078,0,187.6,0,0.5904761905,0.04364357805,0.6291079812,0.04302887976
14,7.723e-06,0,0.0002665,0,349.1,6.961868572e-14,0.5666666667,0.08370664682,0.6431924883,0.04946316316,0.2478,0,0.3271,0,103.7,0,0.5714285714,0.0755928946,0.6525821596,0.05332308306,0.1543,0,0.2024,0,191.3,3.480934286e-14,0.5904761905,0.04364357805,0.6291079812,0.04302887976
16,1.365e-06,2.593498145e-22,6.633e-05,0,349.2,0,0.5666666667,0.08370664682,0.6431924883,0.04946316316,0.248,0,0.3212,0,107.2,0,0.5714285714,0.0755928946,0.6525821596,0.05332308306,0.1548,0,0.1992,3.399349889e-17,193.4,0,0.5904761905,0.04364357805,0.6291079812,0.04302887976
18,2.583e-07,0,1.573e-05,0,349.4,6.961868572e-14,0.5666666667,0.08370664682,0.6431924883,0.04946316316,0.2486,3.399349889e-17,0.3162,0,110.4,1.740467143e-14,0.5714285714,0.0755928946,0.6525821596,0.05332308306,0.1557,0,0.1968,0,195,0,0.5904761905,0.04364357805,0.6291079812,0.04302887976
20,4.879e-08,0,3.681e-06,5.18699629e-22,349.5,0,0.5666666667,0.08370664682,0.6431924883,0.04946316316,0.2491,0,0.3133,0,112.2,0,0.5714285714,0.0755928946,0.6525821596,0.05332308306,0.156,0,0.1953,0,196.3,3.480934286e-14,0.5904761905,0.04364357805,0.6291079812,0.04302887976
