d,baseline.off_p50.mean,baseline.off_p50.std,baseline.off_p95.mean,baseline.off_p95.std,baseline.eff_rank.mean,baseline.eff_rank.std,baseline.val_acc.mean,baseline.val_acc.std,baseline.test_acc.mean,baseline.test_acc.std,local.off_p50.mean,local.off_p50.std,local.off_p95.mean,local.off_p95.std,local.eff_rank.mean,local.eff_rank.std,local.val_acc.mean,local.val_acc.std,local.test_acc.mean,local.test_acc.std,multiscale.off_p50.mean,multiscale.off_p50.std,multiscale.off_p95.mean,multiscale.off_p95.std,multiscale.eff_rank.mean,multiscale.eff_rank.std,multiscale.val_acc.mean,multiscale.val_acc.std,multiscale.test_acc.mean,multiscale.test_acc.std
4,0.03496666667,7.505553499e-05,0.2136,0.0001,145.0333333,0.1154700538,0.7366666667,0.01258305739,0.7458333333,0.01506928443,0.2408666667,0.0003214550254,0.4414333333,0.002417298768,80.98666667,3.168979857,0.7358333333,0.01376892637,0.75,0.02136000936,0.1639333333,0.0009018499506,0.3603,0.0001732050808,75.61333333,0.2107921567,0.7358333333,0.01376892637,0.75,0.02136000936
6,0.006438333333,9.291573243e-06,0.06134333333,0.0001530795,1140.666667,2.886751346,0.7366666667,0.01258305739,0.7458333333,0.01506928443,0.2440666667,0.0001527525232,0.3901333333,0.001365039682,133.8333333,2.638812864,0.7358333333,0.01376892637,0.75,0.02136000936,0.1519666667,0.0004932882862,0.2593,0.0001732050808,343.7666667,1.604161255,0.7358333333,0.01376892637,0.75,0.02136000936
8,0.001189666667,1.154700538e-06,0.01648,2e-05,1868.333333,1.154700538,0.7366666667,0.01258305739,0.7458333333,0.01506928443,0.2457333333,5.773502692e-05,0.3618666667,0.0004041451884,173.7666667,1.234233905,0.7358333333,0.01376892637,0.75,0.02136000936,0.1512,0.0002,0.2256666667,5.773502692e-05,548.8,0.608276253,0.7358333333,0.01376892637,0.75,0.02136000936
10,0.0002205333333,3.055050463e-07,0.004264666667,1.350308607e-05,1985.666667,0.5773502692,0.7366666667,0.01258305739,0.7458333333,0.01506928443,0.2466666667,5.773502692e-05,0.3449,0.0002,203.6,0.2,0.7358333333,0.01376892637,0.75,0.02136000936,0.1522333333,5.773502692e-05,0.2125333333,5.773502692e-05,622.6,0.2645751311,0.7358333333,0.01376892637,0.75,0.02136000936
12,4.085333333e-05,6.658328118e-08,0.001070666667,2.081665999e-06,1999,0,0.7366666667,0.01258305739,0.7458333333,0.01506928443,0.2471666667,5.773502692e-05,0.3335666667,0.0001154700538,226.4,0.4582575695,0.7358333333,0.01376892637,0.75,0.02136000936,0.1533,0.0001,0.2058,0.0001,657.4,0.3,0.7358333333,0.01376892637,0.75,0.02136000936
14,7.57e-06,4.590206967e-08,0.0002639,8.544003745e-07,2000,0,0.7366666667,0.01258305739,0.7458333333,0.01506928443,0.2477333333,5.773502692e-05,0.3254333333,0.0004618802154,245.2666667,1.026320288,0.7358333333,0.01376892637,0.75,0.02136000936,0.1542333333,0.0001154700538,0.2015666667,0.0001527525232,679.9333333,0.7505553499,0.7358333333,0.01376892637,0.75,0.02136000936
16,1.414666667e-06,1.154700538e-09,6.366666667e-05,2.802379941e-07,2000,0,0.7366666667,0.01258305739,0.7458333333,0.01506928443,0.2480333333,5.773502692e-05,0.3188,0.0003605551275,261.5333333,1.159022577,0.7358333333,0.01376892637,0.75,0.02136000936,0.1549666667,0.0001527525232,0.1981666667,5.773502692e-05,697.8,0.6,0.7358333333,0.01376892637,0.75,0.02136000936
18,1.413333333e-07,1.09001529e-08,1.593333333e-05,2.663331247e-07,2000,0,0.7366666667,0.01258305739,0.7458333333,0.01506928443,0.25,0.0001,0.3209333333,0.006043453759,264.1333333,20.44317327,0.7358333333,0.01376892637,0.75,0.02136000936,0.1563333333,0.002458319209,0.1996666667,0.0007234178138,696.9666667,9.335059364,0.7358333333,0.01376892637,0.75,0.02136000936
20,2.705e-08,2.135860482e-09,3.949333333e-06,4.954122862e-08,2000,0,0.7366666667,0.01258305739,0.7458333333,0.01506928443,0.2498666667,5.773502692e-05,0.3174333333,0.004994330119,272.6,17.75922296,0.7358333333,0.01376892637,0.75,0.02136000936,0.1568666667,0.002223360819,0.1981,0.000608276253,705.8333333,7.563949586,0.7358333333,0.01376892637,0.75,0.02136000936
